wallet,target_slug,target_buy_usdc,target_pnl,target_roi,history_match_count,hist_mean_buy_usdc,hist_median_buy_usdc,hist_std_buy_usdc,hist_min_buy_usdc,hist_max_buy_usdc,ratio_vs_mean,ratio_vs_median,ratio_vs_hist_max,zscore,target_trade_count,target_first_time,target_last_time,history_slugs
0x7b05873db08b4f86ecbefb41065a5c87c79925df,lol-wb-tes-2026-03-02,68.767497,24.017931,0.349263,5,16.759999,16.999999,3.380888,10.799998,20.0,4.103073,4.045147,3.438375,15.382792,12,2026-03-02 19:14:37,2026-03-02 20:22:07,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-jdg-2026-01-14|lol-tes-we-2026-02-28
0x13414a77a4be48988851c73dfd824d0168e70853,lol-wb-tes-2026-03-02,82806.468437,-11390.349398,-0.137554,7,14582.149465,20531.359725,10127.829807,1188.566287,27372.640408,5.678619,4.03317,3.025155,6.736322,256,2026-03-01 08:47:55,2026-03-02 20:03:11,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0x6df94bb752a5fadf12baa0c472a88c1232f8e49e,lol-wb-tes-2026-03-02,1399.08,1587.566,1.134721,2,350.345779,350.345779,89.654221,260.691558,440.0,3.993426,3.993426,3.179727,11.697544,8,2026-03-02 18:59:09,2026-03-02 22:56:39,lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10
0xb702cad02ea10ad6b4e2f4bc5459e04252726bcf,lol-wb-tes-2026-03-02,100.469992,56.576861,0.563122,2,25.653332,25.653332,0.746669,24.906663,26.4,3.91645,3.91645,3.805682,100.200639,7,2026-03-02 12:58:59,2026-03-02 21:23:31,lol-tes-al-2026-01-24|lol-wb-tes-2026-01-27
0x72983c97f41bb9c70e6ec51597f050168b0dfe8d,lol-wb-tes-2026-03-02,3101.975627,-384.363713,-0.123909,2,794.9992,794.9992,175.0008,619.9984,970.0,3.90186,3.90186,3.197913,13.182662,40,2026-03-01 11:23:43,2026-03-02 13:51:31,lol-al-tes-2026-02-01|lol-wb-tes-2026-01-27
0xea63bfe35d042eb16ddddeaff1ad25ed8b83682c,lol-wb-tes-2026-03-02,2319.649716,1394.192663,0.601036,3,1224.949075,600.130064,1255.343938,98.25,2976.467161,1.89367,3.865245,0.77933,0.872032,126,2026-03-02 20:58:29,2026-03-02 21:27:05,lol-tes-al-2026-01-24|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x9adf697c265f8c8807e286cbf75a3a2e857955e8,lol-wb-tes-2026-03-02,20084.271854,8306.665653,0.413591,8,8221.792098,5211.178833,7974.5977,644.132628,21599.761053,2.44281,3.854075,0.929838,1.487533,92,2026-03-02 20:09:31,2026-03-02 23:19:29,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0x476b0f069dc03644d1006ac912deb781d7b68a58,lol-wb-tes-2026-03-02,162.65,33.7308,0.207383,3,75.767896,42.6,51.643731,36.0,148.703689,2.146688,3.818075,1.093786,1.682336,23,2026-03-02 17:16:03,2026-03-02 21:19:21,lol-al-tes-2026-02-01|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x6a069dae3165b6954c2d078a07f884fc1a9931d8,lol-wb-tes-2026-03-02,4109.724696,1161.395906,0.282597,2,1097.822382,1097.822382,542.822384,554.999997,1640.644766,3.743524,3.743524,2.504945,5.548596,10,2026-03-02 21:09:01,2026-03-02 21:21:33,lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x2226c9d67117de5c1435dc406ecae046121fde06,lol-wb-tes-2026-03-02,745.234797,1465.806407,1.966905,3,463.553614,199.999998,445.307092,99.999999,1090.660844,1.607656,3.726174,0.683287,0.632555,17,2026-03-02 17:42:51,2026-03-02 21:29:49,lol-al-tes-2026-02-01|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x93f41e3ec256dfa764d2722a2090454ede7dea90,lol-wb-tes-2026-03-02,70.886498,-70.886498,-1.0,2,19.3,19.3,9.7,9.6,29.0,3.672876,3.672876,2.444362,5.318196,8,2026-03-02 20:56:19,2026-03-02 21:05:43,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24
0x00973d2a2a9f6fea13d8a371b53479dd810d9055,lol-wb-tes-2026-03-02,45.6,14.4,0.315789,2,12.499999,12.499999,7.5,4.999999,19.999999,3.648,3.648,2.28,4.413333,1,2026-03-02 19:54:47,2026-03-02 19:54:47,lol-tes-al-2026-01-24|lol-wb-tes-2026-01-27
0x4bf9fa43e8e40311ebae4b3ef2ffbc9be2c61e87,lol-wb-tes-2026-03-02,372.388994,574.239724,1.542043,3,75.760766,102.269499,38.719104,21.012799,103.999999,4.915328,3.641252,3.580663,7.66103,19,2026-03-02 16:58:31,2026-03-02 21:24:35,lol-tes-wb-2026-01-19|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xaea0d2d9c206f0a3f9cf05aae723942a61500dec,lol-wb-tes-2026-03-02,2377.2558,8.1684,0.003436,2,659.10425,659.10425,638.10425,21.0,1297.2085,3.606798,3.606798,1.832593,2.692588,197,2026-03-02 13:12:57,2026-03-02 21:26:49,lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0xf012dee786f5906cd9ca567995ea5234af791a19,lol-wb-tes-2026-03-02,490.551796,-197.339996,-0.402282,2,137.263873,137.263873,118.043875,19.219998,255.307748,3.573787,3.573787,1.921414,2.992853,7,2026-03-02 16:39:57,2026-03-02 17:45:47,lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0xc4b2d9d52cbd4b05258549738b7f0a7e2aa54ab2,lol-wb-tes-2026-03-02,233.705799,101.345987,0.433648,4,87.742785,65.448332,56.651416,40.597364,179.477113,2.663533,3.570844,1.302148,2.576511,17,2026-03-02 18:27:47,2026-03-02 21:17:19,lol-al-tes-2026-02-01|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x407ffcefaf1774beae0fa98b141e3ee35393d62a,lol-wb-tes-2026-03-02,79.0823,9.0387,0.114295,3,61.531762,22.319992,65.259597,8.784,153.491294,1.285227,3.543115,0.515223,0.268934,9,2026-03-02 21:06:07,2026-03-02 22:11:47,lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x6260e8c6e2fc3d3238c3f5361ea0de8ed0a8fed5,lol-wb-tes-2026-03-02,3772.634097,1508.502089,0.399854,3,1431.17512,1065.305359,589.034285,966.0,2262.22,2.636039,3.541364,1.667669,3.975081,76,2026-03-02 20:55:39,2026-03-02 21:27:21,lol-tes-al-2026-01-24|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0xc482b2a677be463d22cca6b331aedb3ece83b505,lol-wb-tes-2026-03-02,35.28,-35.28,-1.0,5,82.247997,9.999994,138.979993,0.78,358.999997,0.428947,3.528002,0.098273,-0.337948,1,2026-03-02 20:55:17,2026-03-02 20:55:17,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-wb-tes-2026-01-27
0x512ec018b841af1feaa25c6d260c9344afd24f1b,lol-wb-tes-2026-03-02,689.993014,740.932386,1.073826,2,196.759,196.759,10.479,186.28,207.237999,3.506793,3.506793,3.329472,47.068808,14,2026-03-02 15:40:55,2026-03-02 20:31:25,lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0xeea6b30a05cf1526f6af2f331dabb0d52c95135f,lol-wb-tes-2026-03-02,734.291594,1010.111926,1.375628,7,886.937414,209.899999,1285.875077,53.95,3890.799084,0.827896,3.498293,0.188725,-0.11871,29,2026-03-02 19:26:55,2026-03-02 21:19:37,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xb8b8d0824486e7f79f7fd621230ee5e1f31b61dc,lol-wb-tes-2026-03-02,77.0,23.0,0.298701,4,24.08175,22.213499,9.006856,13.5,38.4,3.197442,3.466361,2.005208,5.87533,5,2026-03-02 19:39:27,2026-03-02 19:39:31,lol-tes-al-2026-01-24|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0xcd368c715a0838c3173ffe51e865ec32d85619be,lol-wb-tes-2026-03-02,139.999998,346.341612,2.473869,8,54.463219,41.012427,32.846594,10.0,99.91,2.570542,3.413599,1.401261,2.604129,7,2026-03-02 12:19:17,2026-03-02 21:14:13,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xd4081f280de71b3e82b15bdc724588556f52e85c,lol-wb-tes-2026-03-02,17269.824594,3280.781995,0.189972,4,4566.880963,5157.221047,2333.226493,824.566432,7128.515326,3.781536,3.348669,2.42264,5.444368,111,2026-03-02 17:11:49,2026-03-02 20:53:23,lol-al-tes-2026-02-01|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-wb-tes-2026-01-27
0x03dffc2ae38a806925d665cb8dbbc66b6fe11299,lol-wb-tes-2026-03-02,347.0,60.9971,0.175784,2,104.494561,104.494561,54.494561,50.0,158.989122,3.320747,3.320747,2.182539,4.450085,23,2026-03-02 18:55:55,2026-03-02 20:55:39,lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x92b579c18404156883110e99a7a4200ff4e42def,lol-wb-tes-2026-03-02,132.224998,-120.419998,-0.91072,2,40.099998,40.099998,20.099999,20.0,60.199997,3.297382,3.297382,2.196429,4.583334,7,2026-03-02 14:44:09,2026-03-02 20:55:29,lol-tes-al-2026-01-24|lol-wb-tes-2026-01-27
0x16ea6d68c8305c1c8f95d247d0845d19c9cf6df7,lol-wb-tes-2026-03-02,14807.278088,183.824341,0.012414,4,5058.952253,4618.510492,3349.860187,1623.230005,9375.558025,2.926946,3.206072,1.579349,2.910069,339,2026-03-02 13:46:23,2026-03-02 21:27:01,lol-al-tes-2026-02-01|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
